Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Argentina,ARG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,7.75E+11,7.99E+11,8.29E+11,8.21E+11,8.50E+11,8.66E+11,1.01E+12,1.00E+12,9.92E+11,9.17E+11
Argentina,ARG,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,18.39845892,16.50198653,17.3057789,17.26288101,17.07070488,17.66322786,18.21256717,16.04690306,14.57503828,13.77659825
Argentina,ARG,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,7.359094505,6.674939563,7.485894854,7.088182385,9.282262488,9.022443729,9.247428305,5.402984041,5.21279068,0
Argentina,ARG,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,95,94,94,95,89,90,89,94,94,0
Argentina,ARG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,16.75694585,14.28868291,14.71675561,14.00131506,11.78057404,13.56679268,13.96931778,16.55511029,15.18793982,13.88650541
Argentina,ARG,Income share held by lowest 20%,SI.DST.FRST.20,4.8,5,5,5.1,0,4.9,5.1,5,4.7,0
Argentina,ARG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,25.21269761,24.42905706,24.00588144,24.27739449,23.15305614,22.05410721,21.78212322,23.05893032,23.40985342,22.46947671
Argentina,ARG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,23.70347218,22.31488067,23.94879842,40.28297163,26.5799916,41.11937999,26.00637928,40.01216527,50.6225684,39.84085682
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.439,75.598,75.756,75.913,76.068,76.221,76.372,76.52,76.667,0
Argentina,ARG,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,29.87192918,27.09904323,27.24604172,25.48641191,19.67030526,20.40459154,19.51140569,24.58586466,25.64625363,25.38407267
Argentina,ARG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.764287094,0.784824721,0.83773643,0.878100919,0.850128583,0.813140078,0.856137916,0.745498855,0.706186671,0.761486737
Argentina,ARG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,146.9554555,154.059023,159.6394613,143.6158316,143.566834,146.4538276,140.8771235,132.0931513,125.842106,121.1703997
Argentina,ARG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,13.9,13.3,12.7,12.1,11.5,10.9,10.3,9.8,9.3,0
Argentina,ARG,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,160.564925,167.1272495,156.4980784,153.2871405,146.3443414,155.244929,150.7457768,152.5529498,151.2264533,0
Argentina,ARG,Net migration,SM.POP.NETM,0,30000,0,0,0,0,24000,0,0,0
Argentina,ARG,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,97050003.05,177759994.5,34729999.54,48790000.92,-18870000.84,2619999.886,-1169999.957,73110000.61,18250000,0
Argentina,ARG,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,697379575.1,577532962.1,535004409.4,505346891.7,494433532.1,391579047.7,479937459.8,522441503,541741886.7,630973885.3
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,15.0771516,15.2495427,15.42116023,15.59164538,15.76063274,15.92813508,16.09419079,16.2585101,16.42082662,16.58089261
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1.15305928,1.136905694,1.1191092,1.099461091,1.078001344,1.057181578,1.037133897,1.015808349,0.993397493,0.970053991
Argentina,ARG,"Population, total",SP.POP.TOTL,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763
Argentina,ARG,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,1.1,1.2,1,0.9,0,1.1,0.9,1.4,1.5,0
Argentina,ARG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,0,0,0,0,0,30.3,25.7,32,35.5,42
Argentina,ARG,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Argentina,ARG,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,0,0,0,0,0,0,0,0,1.7,0
Argentina,ARG,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,103.8877106,103.3522491,101.6450119,103.1064377,102.9737396,103.8935699,99.96276093,98.70625305,98.54724121,0
Argentina,ARG,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,20.19640807,21.1822346,21.56528296,22.33229437,22.1490803,21.25670131,19.33712397,17.94844509,18.83343882,0
Argentina,ARG,"School enrollment, primary (% gross)",SE.PRM.ENRR,115.6147308,114.2271729,112.0119476,111.459671,111.3034134,110.7391815,109.7414627,109.6591721,109.5162964,0
Argentina,ARG,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.040199995,1.034610033,1.03136003,1.031229973,1.028380036,1.020810008,1.019629955,1.021319985,1.020560026,0
Argentina,ARG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,101.5350037,103.4764786,105.0414124,106.0355606,106.9464722,108.4623337,108.7335968,107.6472778,108.2308426,0
Argentina,ARG,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,85.55555556,85.55555556,76.66666667,83.33333333,95.55556667,88.8889,85.55556667,81.1111,80,78.8889
Argentina,ARG,Surface area (sq. km),AG.SRF.TOTL.K2,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,0,0
Argentina,ARG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,12.6636277,12.95284151,12.45290276,12.61096661,12.33650694,12.09728364,10.93962386,10.1312463,10.64932467,0
Argentina,ARG,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,0,0,0,0,0,7.528593349,7.40512875,7.40512875,0,0
Argentina,ARG,Time required to start a business (days),IC.REG.DURS,24.5,24.5,24.5,24.5,24.5,24.5,24.5,11,11.5,0
Argentina,ARG,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,15.65506279,14.06013209,17.14479497,20.16972536,24.73364286,34.92833982,51.73025476,51.5485856,50.85885579,41.08662825
Argentina,ARG,Urban population growth (annual %),SP.URB.GROW,1.308141316,1.280773703,1.25948243,1.239638679,1.215797063,1.192602919,1.170195959,1.147602159,1.125019726,1.100415053
Australia,AUS,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,13.2616,12.302,12.1846,12.0672,11.9498,11.8324,11.715,11.3258,10.9366,0
Australia,AUS,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2.276542366,2.254748049,2.278906495,2.216223655,2.372644114,2.403122994,2.704424891,2.458345956,2.121596985,1.897969113
Australia,AUS,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,0,3.133875339,0,0,0,0,3.240853659,0,0,0
Australia,AUS,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,99.1,99.2,99.3,99.7,99.7,97,96.7,0,0,0
Australia,AUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,17.26811037,16.96925656,16.398646,15.7558761,15.7864494,15.87207954,15.7386474,15.47551649,0,0
Australia,AUS,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,0,67.75,0,0,0,66.93,0,0,0,0
Australia,AUS,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,0,0,0,0,0,0,0,0,0,0
Australia,AUS,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,10627.29387,10407.74031,10220.8873,10071.39898,0,0,0,0,0,0
Australia,AUS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,5745.23219,5575.287093,5468.391369,5334.681679,5483.816402,0,0,0,0,0
Australia,AUS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,21.43641705,21.48082841,19.95616761,21.039455,19.98484551,19.25105708,21.20575066,21.82190462,24.11096544,23.91522677
Australia,AUS,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,0,0,0,0,0,0,0,0,0,0
Australia,AUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.926,1.92,1.855,1.826,1.814,1.752,1.741,1.74,1.657,0
Australia,AUS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,65554890650,57550426823,53997299140,63195482812,46892808568,42969505135,47281951027,61526702742,40197032577,0
Australia,AUS,Forest area (sq. km),AG.LND.FRST.K2,1302557.8,1309654.6,1316751.4,1323848.2,1330945,1340372,1340174,1340051,1340051,1340051
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1.40E+12,1.55E+12,1.58E+12,1.47E+12,1.35E+12,1.21E+12,1.33E+12,1.43E+12,1.40E+12,1.33E+12
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.462756312,3.918162871,2.584897702,2.533114665,2.192647426,2.770652197,2.300610624,2.949285772,2.160956295,-0.284839298
Australia,AUS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,50320,60210,66020,65150,60500,54140,51560,53190,55100,53730
Australia,AUS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,40280,41520,44760,45650,45340,46220,47160,48660,50540,51420
Australia,AUS,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,1.12E+12,1.37E+12,1.53E+12,1.53E+12,1.44E+12,1.31E+12,1.27E+12,1.33E+12,1.40E+12,1.38E+12
Australia,AUS,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,9.00E+11,9.44E+11,1.04E+12,1.07E+12,1.08E+12,1.12E+12,1.16E+12,1.22E+12,1.28E+12,1.32E+12
Australia,AUS,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,26.50721223,27.74255764,27.89579166,26.74563505,26.27069662,25.37197856,24.05679621,24.52866015,23.19688838,22.25554261
Australia,AUS,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,18.11314422,17.34872458,18.08936181,19.09525207,19.81792696,20.73105115,17.96185454,18.32479628,21.5247036,0
Australia,AUS,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,94,94,94,94,95,95,95,95,95,0
Australia,AUS,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,20.47031601,21.72951827,21.25226273,21.46703534,21.50952757,21.52658435,20.61296969,21.44074306,21.59949403,20.06262598
Australia,AUS,Income share held by lowest 20%,SI.DST.FRST.20,0,0,0,7.4,0,0,0,0,0,0
Australia,AUS,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,26.43612763,26.28416401,25.12798549,25.51481674,23.64420556,22.28487265,23.46106467,24.15896698,25.38244874,25.68808495
Australia,AUS,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,6.252760381,1.85652681,-0.124199304,1.479573108,-0.549659411,-0.533000346,3.734750093,1.885615996,3.398104471,1.968036863
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.89512195,82.04634146,82.14878049,82.3,82.4,82.44878049,82.5,82.74878049,82.9,0
Australia,AUS,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,36.90502521,33.47763172,31.41263033,32.52690291,29.31025843,32.16081125,34.60088681,34.37019131,35.26998667,34.47273883
Australia,AUS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.757078228,1.671015795,1.639720581,1.772233857,1.951027863,2.083689225,1.997577266,1.890622246,1.879743267,2.063042777
Australia,AUS,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,105.5506209,106.2611564,107.2461548,106.2025331,107.6778349,109.4312952,108.4417819,111.012255,109.2520084,107.6632349
Australia,AUS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,4.5,4.3,4.1,4,3.9,3.8,3.7,3.7,3.6,0
Australia,AUS,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,200.2885825,181.8145129,176.8117884,164.9852955,148.1965091,147.9984555,172.4928872,175.7199208,192.9905599,0
Australia,AUS,Net migration,SM.POP.NETM,0,989375,0,0,0,0,791229,0,0,0
Australia,AUS,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,0,0,0,0,0,0,0,0,0,0
Australia,AUS,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,2449287569,2405316867,2389397584,2292096914,2174651380,2056844753,2001928453,1861417361,1752198311,1190622992
Australia,AUS,Population density (people per sq. km of land area),EN.POP.DNST,2.90798641,2.95920037,3.010573526,3.055814795,3.100112596,3.144935531,3.198361419,3.24787091,3.297670183,3.339440225
Australia,AUS,Population growth (annual %),SP.POP.GROW,1.389527316,1.745820001,1.72115144,1.491566489,1.439216653,1.561940498,1.684523108,1.536105516,1.521653677,1.258698172
Australia,AUS,"Population, total",SP.POP.TOTL,22340024,22733465,23128129,23475686,23815995,24190907,24601860,24982688,25365745,25687041
Australia,AUS,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,0,0,0,0.5,0,0,0,0,0,0
Australia,AUS,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,0,0,0,0,0,0,0,0,0,0
Australia,AUS,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Australia,AUS,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,0,0,0,0,0,0,0,0,0,0
Australia,AUS,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,0,0,0,0,0,0,0,0,0,0
Australia,AUS,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,22.73866988,23.45480834,24.46841679,24.37558257,24.50213929,24.82119137,24.77514666,25.74387631,25.99289182,0
Australia,AUS,"School enrollment, primary (% gross)",SE.PRM.ENRR,105.689682,105.9844513,105.9938507,105.4570923,101.5999069,100.7444077,100.3389816,100.1605911,99.72714996,0
Australia,AUS,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0,0,0,0,0.925260007,0.925170004,0.937539995,0.968850017,0.964070022,0
Australia,AUS,"School enrollment, secondary (% gross)",SE.SEC.ENRR,0,0,0,0,157.1676636,153.0131989,150.3114777,132.7728882,140.6460419,0
Australia,AUS,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,0,0,0,0,0,0,0,0,0,0
Australia,AUS,Surface area (sq. km),AG.SRF.TOTL.K2,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,0,0
Australia,AUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,20.35031222,21.11709698,21.95811124,21.90887878,21.8654919,22.23447264,22.04745766,23.11469468,23.33367474,0
Australia,AUS,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,0,0,0,0,0,28.59184172,29.70879373,29.70879373,0,0
Australia,AUS,Time required to start a business (days),IC.REG.DURS,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2,0
Australia,AUS,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,0,0,0,0,0,0,0,0,0,0
Australia,AUS,Urban population growth (annual %),SP.URB.GROW,1.527957416,1.865330137,1.838175799,1.608455102,1.554800599,1.677390128,1.805663698,1.661749259,1.651780487,1.394457506
Brazil,BRA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,65.4728,64.053,63.0646,62.0762,61.0878,60.0994,59.111,57.8858,56.6606,0
Brazil,BRA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,4.34203512,4.168328224,4.506904938,4.325610539,4.319132751,4.891353587,4.600591696,4.420399304,4.401763235,5.905569345
Brazil,BRA,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,0,1.234066419,0,0,0,0,1.160219043,0,0,0
Brazil,BRA,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,99,99,99.1,99.1,99.1,99.1,99.1,0,0,0
Brazil,BRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.111844515,2.266878111,2.401859521,2.499362016,2.347365731,2.143497524,2.164421504,2.041874199,0,0
Brazil,BRA,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,0,0,80.2,0,0,0,0,0,0,0
Brazil,BRA,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,0,0,0,0,0,0,0,0,0,0
Brazil,BRA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,2430.80331,2501.474103,2568.829695,2619.960499,0,0,0,0,0,0
Brazil,BRA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1367.188049,1413.733385,1461.076774,1495.541141,0,0,0,0,0,0
Brazil,BRA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,11.58251532,11.87755984,11.74223064,11.01194282,12.90019142,12.46667904,12.51896787,14.6349995,14.10536213,16.87085484
Brazil,BRA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,4.04E+11,4.41E+11,4.84E+11,5.57E+11,5.43E+11,5.43E+11,5.43E+11,5.58E+11,5.69E+11,5.49E+11
Brazil,BRA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.781,1.771,1.764,1.758,1.753,1.747,1.739,1.73,1.719,0
Brazil,BRA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1.02E+11,92568388321,75211029129,87713983217,64738153494,74294627801,68885491315,78162724370,69174411753,0
Brazil,BRA,Forest area (sq. km),AG.LND.FRST.K2,5100415.2,5085023.4,5069631.6,5054239.8,5038848,5020821,5000916,4990514,4977985,4966196
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,2.62E+12,2.47E+12,2.47E+12,2.46E+12,1.80E+12,1.80E+12,2.06E+12,1.92E+12,1.88E+12,1.44E+12
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.974425406,1.921150318,3.004846305,0.50395574,-3.545763393,-3.275916908,1.322869055,1.783666761,1.411152985,-4.059048273
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,11080,12310,12790,12120,10190,8920,8700,9170,9270,7850
Brazil,BRA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,14650,14670,15370,15430,14470,13950,14250,14600,14980,14550
Brazil,BRA,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,2.19E+12,2.45E+12,2.57E+12,2.46E+12,2.08E+12,1.84E+12,1.81E+12,1.92E+12,1.96E+12,1.67E+12
Brazil,BRA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2.89E+12,2.92E+12,3.09E+12,3.13E+12,2.96E+12,2.88E+12,2.96E+12,3.06E+12,3.16E+12,3.09E+12
Brazil,BRA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,21.82627609,21.41722537,21.69376694,20.54841076,17.41164254,14.96954698,14.6255876,15.09504163,15.40300948,15.40486519
Brazil,BRA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,10.85046934,11.52449643,10.65130571,11.71722733,13.62314856,14.76575639,13.85253322,13.44294229,13.27405402,0
Brazil,BRA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99,99,98,97,96,95,91,92,91,0
Brazil,BRA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,12.35189532,13.23673454,14.04374544,13.673463,14.0534512,12.06701899,11.8007665,14.24120388,14.35057519,15.48344104
Brazil,BRA,Income share held by lowest 20%,SI.DST.FRST.20,3.3,3.3,3.5,3.6,3.6,3.3,3.2,3.1,3.1,0
Brazil,BRA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,23.10205624,22.13364737,21.22482871,20.47246275,19.36004398,18.35475828,18.18850231,18.74905145,18.40884269,17.65010882
Brazil,BRA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,8.318565045,7.94317879,7.504539865,7.846709744,7.566175012,8.103604359,3.671384512,4.493534332,4.280505119,4.805398417
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.921,74.209,74.483,74.745,74.994,75.23,75.456,75.672,75.881,0
Brazil,BRA,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,18.8442709,19.30789334,19.92027748,18.90302138,20.54278367,18.30166337,18.18660381,22.31819643,21.82078526,26.03622486
Brazil,BRA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.411851159,1.378656465,1.329446084,1.330244423,1.365517154,1.347975413,1.414485611,1.494203353,1.407988516,1.439168226
Brazil,BRA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,118.653296,124.6058852,134.8514284,138.4511833,126.0879559,118.3855945,106.4644877,99.9717023,95.71649455,96.83635
Brazil,BRA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,17.9,17.3,16.7,16.2,15.7,16.4,14.8,14.4,13.9,0
Brazil,BRA,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,134.179349,126.4018694,123.774555,119.6086955,106.4142912,109.7186385,116.0580489,113.5803395,114.3601644,0
Brazil,BRA,Net migration,SM.POP.NETM,0,15924,0,0,0,0,106000,0,0,0
Brazil,BRA,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,840690002.4,1288540039,1155729980,914150024.4,1003190002,674630004.9,273890014.6,444829986.6,290230011,0
Brazil,BRA,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,3214602243,2784072055,2717675069,2647908513,2896909952,2739786527,2698770651,2933489276,3213621677,3566219438
Brazil,BRA,Population density (people per sq. km of land area),EN.POP.DNST,23.63139897,23.84349772,24.05270838,24.2594338,24.46378728,24.66614055,24.86603778,25.06171469,25.25077577,25.43142481
Brazil,BRA,Population growth (annual %),SP.POP.GROW,0.915965178,0.893525507,0.873605696,0.855795964,0.838838953,0.823752153,0.807145245,0.78384426,0.751550842,0.712872791
Brazil,BRA,"Population, total",SP.POP.TOTL,197514541,199287292,201035904,202763744,204471759,206163056,207833825,209469320,211049519,212559409
Brazil,BRA,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,4.7,3.7,3.1,2.7,3.2,3.9,4.4,4.4,4.6,0
Brazil,BRA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,0,0,0,0,0,0,0,0,0,0
Brazil,BRA,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6
Brazil,BRA,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,0,0,0,0,0,0,0,0,0,0
Brazil,BRA,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,0,0,0,0,0,0,0,0,0,0
Brazil,BRA,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,29.10094695,29.66604998,28.65154186,27.37171862,29.2516405,29.67027784,27.82533099,28.58390157,29.11318939,0
Brazil,BRA,"School enrollment, primary (% gross)",SE.PRM.ENRR,106.9850616,108.8190231,114.5027695,114.8582001,113.3699722,114.5202789,115.9717789,114.476532,111.9657822,0
Brazil,BRA,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.024670005,1.030529976,1.026430011,1.032739997,1.015329957,1.017009974,1.003769994,1.007050037,1.012459993,0
Brazil,BRA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,95.26338196,93.42028809,102.6035767,101.3885269,100.6081696,102.0632629,101.3137894,105.0091095,103.9523773,0
